weathertypeid,locationid,eventdate,severity
1,1,2020-06-14,Moderate
2,2,2020-05-18,Moderate
2,3,2020-08-20,Light
2,4,2020-02-12,Light
1,5,2020-11-09,Severe
3,6,2020-02-27,Moderate
2,7,2020-11-12,Light
2,8,2020-02-07,Light
2,9,2020-12-17,Light
2,10,2020-03-27,Light
2,11,2020-02-06,Light
2,12,2020-07-20,Light
1,13,2020-08-12,Severe
3,14,2020-03-12,Moderate
1,15,2020-02-01,Severe
3,16,2020-04-09,Light
2,17,2020-05-06,Light
2,18,2020-06-09,Moderate
4,19,2020-05-31,UNK
5,20,2020-04-06,Severe
3,21,2020-02-24,Moderate
3,22,2020-01-01,Light
3,10,2020-01-23,Light
2,23,2020-10-16,Light
6,24,2020-06-04,Severe
2,25,2020-02-26,Heavy
2,26,2020-05-26,Light
1,27,2020-08-23,Severe
2,28,2020-09-30,Heavy
2,29,2020-09-28,Light
3,30,2020-01-15,Light
2,31,2020-02-01,Light
1,32,2020-03-22,Severe
1,33,2020-09-23,Moderate
5,34,2020-01-22,Severe
2,35,2020-10-11,Light
2,36,2020-07-09,Light
2,37,2020-03-25,Light
2,38,2020-11-30,Light
2,39,2020-08-31,Light
2,40,2020-11-23,Light
2,41,2020-02-26,Light
3,42,2020-10-18,Light
2,43,2020-03-13,Light
2,44,2020-11-11,Moderate
6,45,2020-12-23,Severe
2,46,2020-07-01,Light
1,47,2020-02-29,Severe
2,48,2020-04-10,Light
2,49,2020-05-19,Light
3,50,2020-04-15,Light
1,51,2020-11-24,Severe
2,25,2020-09-18,Light
2,52,2020-07-21,Light
2,53,2020-06-09,Light
1,54,2020-02-12,Moderate
3,55,2020-02-20,Light
3,56,2020-02-13,Light
1,57,2020-07-05,Severe
3,58,2020-02-18,Light
2,59,2020-05-25,Light
2,60,2020-08-05,Light
1,61,2020-07-07,Moderate
2,62,2020-03-17,Light
3,63,2020-12-04,Light
2,64,2020-02-10,Light
3,65,2020-02-14,Light
2,66,2020-12-24,Light
2,67,2020-08-02,Light
1,68,2020-07-05,Severe
2,69,2020-01-09,Light
1,70,2020-07-02,Severe
1,71,2020-11-11,Severe
2,72,2020-12-11,Light
2,73,2020-03-30,Light
2,74,2020-02-19,Light
1,75,2020-12-16,Moderate
4,76,2020-09-14,UNK
2,77,2020-04-13,Light
2,26,2020-03-05,Light
1,79,2020-10-31,Severe
2,80,2020-08-12,Light
1,81,2020-05-26,Severe
1,82,2020-02-12,Severe
2,13,2020-06-27,Light
2,83,2020-09-06,Light
1,84,2020-05-05,Moderate
1,85,2020-03-19,Severe
3,86,2020-04-17,Moderate
2,87,2020-12-12,Moderate
2,88,2020-07-29,Light
2,89,2020-06-22,Light
1,90,2020-10-14,Severe
1,91,2020-01-14,Severe
2,92,2020-02-27,Light
2,93,2020-09-23,Light
5,94,2020-09-21,Severe
2,41,2020-07-06,Light
2,95,2020-01-27,Light
1,96,2020-12-09,Severe
2,97,2020-12-30,Light
2,98,2020-12-21,Light
3,99,2020-04-21,Light
1,100,2020-07-20,Moderate
1,101,2020-04-29,Severe
2,102,2020-06-30,Moderate
2,19,2020-09-30,Moderate
3,104,2020-12-13,Light
2,75,2020-03-19,Light
3,105,2020-02-26,Light
2,106,2020-10-09,Moderate
1,107,2020-12-03,Severe
2,36,2020-03-19,Moderate
3,108,2020-01-20,Light
2,109,2020-10-12,Light
2,110,2020-12-25,Moderate
3,111,2020-02-08,Light
2,112,2020-09-10,Light
3,113,2020-12-31,Light
2,114,2020-09-30,Light
4,115,2020-07-22,UNK
1,116,2020-01-14,Severe
1,117,2020-05-27,Severe
2,118,2020-03-23,Light
2,119,2020-02-18,Light
2,120,2020-04-01,Light
2,121,2020-10-04,Light
2,122,2020-09-01,Light
2,123,2020-01-04,Light
3,124,2020-02-26,Light
2,125,2020-05-21,Light
1,126,2020-03-29,Severe
1,119,2020-07-02,Severe
2,127,2020-03-17,Moderate
1,128,2020-10-19,Severe
2,129,2020-10-28,Light
2,130,2020-04-03,Light
1,131,2020-07-07,Severe
1,132,2020-02-14,Severe
2,133,2020-06-30,Light
2,134,2020-06-24,Light
1,135,2020-01-04,Moderate
2,136,2020-11-21,Light
2,137,2020-03-11,Light
2,138,2020-11-10,Light
2,139,2020-05-15,Light
2,140,2020-05-10,Light
1,141,2020-11-04,Severe
1,142,2020-06-06,Severe
2,143,2020-03-29,Light
2,144,2020-06-24,Light
2,145,2020-02-27,Light
2,146,2020-05-23,Light
2,147,2020-04-12,Light
2,148,2020-08-09,Light
1,149,2020-04-12,Severe
2,150,2020-10-26,Light
3,151,2020-02-20,Light
1,84,2020-08-24,Moderate
1,152,2020-03-30,Severe
2,153,2020-11-30,Light
5,154,2020-12-27,Severe
2,155,2020-06-22,Moderate
1,156,2020-10-20,Severe
2,157,2020-08-30,Light
2,158,2020-04-06,Light
1,159,2020-08-08,Moderate
1,160,2020-07-18,Severe
1,161,2020-02-17,Severe
2,162,2020-09-01,Light
1,163,2020-01-14,Severe
2,164,2020-09-09,Light
2,165,2020-02-12,Light
2,166,2020-01-21,Moderate
2,167,2020-03-12,Light
1,168,2020-03-26,Severe
2,169,2020-01-17,Light
2,105,2020-12-19,Light
2,171,2020-08-15,Light
1,156,2020-10-21,Severe
2,173,2020-12-13,Moderate
2,174,2020-09-18,Light
1,175,2020-02-21,Moderate
2,176,2020-02-01,Moderate
4,177,2020-11-23,UNK
2,178,2020-07-21,Light
1,59,2020-10-20,Severe
2,180,2020-05-28,Heavy
1,181,2020-09-10,Severe
3,182,2020-02-11,Light
3,183,2020-04-09,Light
1,150,2020-10-05,Severe
3,185,2020-10-20,Light
5,186,2020-11-13,Severe
2,41,2020-01-10,Light
2,187,2020-08-27,Heavy
2,188,2020-02-24,Light
2,189,2020-02-18,Light
2,190,2020-03-28,Light
2,191,2020-11-07,Light
2,64,2020-01-25,Light
2,192,2020-12-14,Light
3,46,2020-11-14,Moderate
3,193,2020-01-28,Light
2,194,2020-03-20,Light
2,195,2020-01-18,Light
1,196,2020-03-11,Severe
2,197,2020-10-30,Light
